id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum,encoder,catalogue_num
china01,Chiu K'uang (Jiu guang: Weintrunkenheit),,"Asia, China",,,Han,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,Kunstmusik,,,https://kern.humdrum.org/cgi-bin/ksdata?file=china01.krn&l=essen/asia/china/xinhua&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china01.krn,china01.krn,kern,86299195eed584169250adef8c8d0fe0,Helmut Schaffrath,I0001
china02,Yang-Guan San Tie (Abschied der Freunde am Yang-Guan,,"Asia, China",,,Han,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,Kunstmusik fr Guqin,,,https://kern.humdrum.org/cgi-bin/ksdata?file=china02.krn&l=essen/asia/china/xinhua&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china02.krn,china02.krn,kern,3c378bf2311569913cbdccfb70a0bfc0,Helmut Schaffrath,C0001
china03,Taiyang chulai xiyangyang,,"Asia, China, Sichuan, Ostteil",,,Han,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Shange, Luoer diao",,,https://kern.humdrum.org/cgi-bin/ksdata?file=china03.krn&l=essen/asia/china/xinhua&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china03.krn,china03.krn,kern,3eecb620fa8ed8570b3c07a876e77fb3,Helmut Schaffrath,C0260
china04,Alamuhan,,"Asia, Ostasien, Xinjiang",,,Han,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,Qingge,,,https://kern.humdrum.org/cgi-bin/ksdata?file=china04.krn&l=essen/asia/china/xinhua&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china04.krn,china04.krn,kern,2e72b40c8c5ce8adda3215fed3a932bb,Helmut Schaffrath,C1154
china05,Xiu4 he2 ba1o,,"Asia, Ostasien, China, Sha1nxi1",,,Han,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,Liebes - Lied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=china05.krn&l=essen/asia/china/xinhua&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china05.krn,china05.krn,kern,31effef9c5842b2bc4aa5edf94a4c90f,Helmut Schaffrath,C0037
china06,Moli hua,,"Asia, China, Jiangsu",,,Han,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,xiao diao,,,https://kern.humdrum.org/cgi-bin/ksdata?file=china06.krn&l=essen/asia/china/xinhua&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china06.krn,china06.krn,kern,ad1c829cb2b64735f245c472630c7fd5,Helmut Schaffrath,C0328
china07,Yitang qingshui yitang lian,,"Hunan, Hengshan",,,Han,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=china07.krn&l=essen/asia/china/xinhua&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china07.krn,china07.krn,kern,f74191eabd8cc1fd94d3ff0a5b054f77,Helmut Schaffrath,C0134
china08,Ta4i ya2ng chu1 la2i xi3 ya2ng ya2ng Auf geht die Sonne,,"Asia, Ostasien, China, Sichuan",,,Han,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,Grundton liegt in der zweigestrichenen Oktave; Verzierung,,,https://kern.humdrum.org/cgi-bin/ksdata?file=china08.krn&l=essen/asia/china/xinhua&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china08.krn,china08.krn,kern,53473aa3408f26e88769b4e2f4677ed7,Helmut Schaffrath,C0013
china09,Moli hua,,"Asia, China, Jiangsu",,,Han,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,xiao diao,,,https://kern.humdrum.org/cgi-bin/ksdata?file=china09.krn&l=essen/asia/china/xinhua&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china09.krn,china09.krn,kern,5578dbfe98c60cdc4277022620fa178f,Helmut Schaffrath,C0328
china10,Ta4i ya2ng chu1 la2i xi3 ya2ng ya2ng Auf geht die Sonne,,"Asia, Ostasien, China, Sichuan",,,Han,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Grundton liegt in der zweigestrichenen Oktave; Verzierung, Als Tonbeispiel vorhanden; Signatur: 00151, Cut Nr.: 17",,,https://kern.humdrum.org/cgi-bin/ksdata?file=china10.krn&l=essen/asia/china/xinhua&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china10.krn,china10.krn,kern,41eec47ef531d210297b22e57c0a36fb,Helmut Schaffrath,C0013
