id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
china01,essen-china-xinhua,Chiu K'uang (Jiu guang: Weintrunkenheit),,"Asia, China",,,,,,,,,,,,,,,,,,,,,,irregular,,,,,,,,,,,,,I0001,,Helmut Schaffrath,,,,,data/china01.krn,kern,1.0,86299195eed584169250adef8c8d0fe0,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china01.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=china01.krn&l=essen/asia/china/xinhua&format=kern,False,True,,,"00000] ST[|Mixed meters:  4/2; 6/4||Die Notation sollte im Baáschlssel erfolgen. Transkription nach|Liang Mingyue; ohne seinen besonderen Schluss. Zeile 6, 17 und 30|werden wiederholt! ++++ Zur Lesbarkeit auf C transponiert.",,,,
china02,essen-china-xinhua,Yang-Guan San Tie (Abschied der Freunde am Yang-Guan,,"Asia, China",,,,,,,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0001,,Helmut Schaffrath,,,,,data/china02.krn,kern,1.0,3c378bf2311569913cbdccfb70a0bfc0,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china02.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=china02.krn&l=essen/asia/china/xinhua&format=kern,False,True,,,00000] ST[|something funny happended to the data here.|something funny happened in the translation here.|Transkription nach Reinhard. Muss noch verbessert werden!!!! +++++|Die Notation sollte im Baáschlssel erfolgen.,,,,
china03,essen-china-xinhua,Taiyang chulai xiyangyang,,"Asia, China, Sichuan, Ostteil",,,,,,Han,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0260,,Helmut Schaffrath,,,,,data/china03.krn,kern,1.0,3eecb620fa8ed8570b3c07a876e77fb3,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china03.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=china03.krn&l=essen/asia/china/xinhua&format=kern,False,True,,,"00026] ST[00|Eigene Aufnahme|Die Gattungsbzeichnung gilt den Fuellwoertern, die den Klang des Gongs|""Luo"" imitieren.  Die Saengerin Lei Huilan ist Angehoerige der Zhuang|Minderheit und studiert an der Guangzhouer Musikhochschule.|aufgenommen am 5.5.87 +++ Komischer Grundton? +++|+++ AUCH AUF KASSETTE 1 = 46 CUT 2 (A-Seite) +++ MEHRMALS ! +++|Grundton liegt in der zweigestrichenen Oktave; Verzierung|Als Tonbeispiel vorhanden; Signatur: 00151, Cut Nr.: 17|Nach chinesischer Auffassung ist dies ein Zweizeiler (A-B).",,,,
china04,essen-china-xinhua,Alamuhan,,"Asia, Ostasien, Xinjiang",,,,,,Weiwuer: Uiguren,,,,,,,,,,,,,,,,simple quadruple,,,,,,,,,,,,,C1154,,Helmut Schaffrath,,,,,data/china04.krn,kern,1.0,2e72b40c8c5ce8adda3215fed3a932bb,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china04.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=china04.krn&l=essen/asia/china/xinhua&format=kern,False,True,,,00000] ST[00|Wegen besserer Textverteilung in ESTAFF wurde die erste (wiederholte)|Phrase noch einmal getrennt. Dasselbe gilt fr die letzte und vor-|letzte. In die ersten beiden Zeilen gehren nun Wiederholungszeichen.|Die Tonart wurde wegen der Textverteilung hochgesetzt. Hat jemand den|original uigurischen Text?,,,,
china05,essen-china-xinhua,Xiu4 he2 ba1o,,"Asia, Ostasien, China, Sha1nxi1",,,,,,Ha4nzu2,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0037,,Helmut Schaffrath,,,,,data/china05.krn,kern,1.0,31effef9c5842b2bc4aa5edf94a4c90f,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china05.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=china05.krn&l=essen/asia/china/xinhua&format=kern,False,True,,,,,,,
china06,essen-china-xinhua,Moli hua,,"Asia, China, Jiangsu",,,,,,Han,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0328,,Helmut Schaffrath,,,,,data/china06.krn,kern,1.0,ad1c829cb2b64735f245c472630c7fd5,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china06.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=china06.krn&l=essen/asia/china/xinhua&format=kern,False,True,,,"00000] TT[00|NN|III, 482|Jiang nimmt an, es ist das Original.|Vorspiel weggelassen.",,,,
china07,essen-china-xinhua,Yitang qingshui yitang lian,,"Hunan, Hengshan",,,,,,,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0134,,Helmut Schaffrath,,,,,data/china07.krn,kern,1.0,f74191eabd8cc1fd94d3ff0a5b054f77,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china07.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=china07.krn&l=essen/asia/china/xinhua&format=kern,False,True,,,nan,,,,
china08,essen-china-xinhua,Ta4i ya2ng chu1 la2i xi3 ya2ng ya2ng Auf geht die Sonne,,"Asia, Ostasien, China, Sichuan",,,,,,Ha4nzu2,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0013,,Helmut Schaffrath,,,,,data/china08.krn,kern,1.0,53473aa3408f26e88769b4e2f4677ed7,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china08.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=china08.krn&l=essen/asia/china/xinhua&format=kern,False,True,,,"Als Tonbeispiel vorhanden; Signatur: 00151, Cut Nr.: 17|Arbeitslied",,,,
china09,essen-china-xinhua,Moli hua,,"Asia, China, Jiangsu",,,,,,Han,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0328,,Helmut Schaffrath,,,,,data/china09.krn,kern,1.0,5578dbfe98c60cdc4277022620fa178f,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china09.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=china09.krn&l=essen/asia/china/xinhua&format=kern,False,True,,,"00000] ST[00|NN|Jiang nimmt an, es ist das Original.|Vorspiel weggelassen.",,,,
china10,essen-china-xinhua,Ta4i ya2ng chu1 la2i xi3 ya2ng ya2ng Auf geht die Sonne,,"Asia, Ostasien, China, Sichuan",,,,,,Ha4nzu2,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0013,,Helmut Schaffrath,,,,,data/china10.krn,kern,1.0,41eec47ef531d210297b22e57c0a36fb,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china10.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=china10.krn&l=essen/asia/china/xinhua&format=kern,False,True,,,Arbeitslied,,,,
